





类别,题目,题目链接,详细链接
程序片段编程题,迭代法求杨辉三角数据矩阵,https://bigdatatech.nwafu.edu.cn/assignment/programFillGapList.jsp?proNum=1&assignID=1287,
程序片段编程题,二分法查找,https://bigdatatech.nwafu.edu.cn/assignment/programFillGapList.jsp?proNum=2&assignID=1287,
编程题,植树问题,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=1&assignID=1287,
编程题,数据查找,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=2&assignID=1287,
编程题,有四个数字：1、2、3、4，能组成多少个互不相同且无重复数字的三位数？各是多少？用循环嵌套结构完成。,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=3&assignID=1287,
编程题,骰子点数概率计算,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=4&assignID=1287,
编程题,爱因斯坦阶梯问题,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=5&assignID=1287,
编程题,成绩分段,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=6&assignID=1287,
编程题,分数序列求和值,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=7&assignID=1287,
编程题,对n个整数进行排序,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=8&assignID=1287,
编程题,牛顿迭代法求方程的近似解。,https://bigdatatech.nwafu.edu.cn/assignment/programList.jsp?proNum=9&assignID=1287,
